英単語,日本語訳
ubiquitous,至る所にある・遍在する
meticulous,几帳面な・細心の注意を払う
ephemeral,はかない・つかの間の
perfunctory,おざなりの・形だけの
obsequious,こびへつらう・卑屈な
ambivalent,相反する感情を持つ・両面価値の
cacophony,不協和音・耳障りな音
clandestine,秘密の・隠れて行われる
deleterious,有害な・有毒な
egregious,とんでもない・言語道断の
fastidious,好みにうるさい・気難しい
gregarious,社交的な・群れたがる
impetuous,性急な・衝動的な
juxtapose,並置する・対比させる
laconic,言葉少ない・簡潔な
magnanimous,度量が大きい・寛大な
nefarious,極悪の・邪悪な
obfuscate,わかりにくくする・曖昧にする
pernicious,徐々に害を及ぼす・有害で破壊的な
quintessential,典型的な・真髄を表す
recalcitrant,反抗的な・強情な
surreptitious,こっそりした・人目を忍んだ
tenacious,粘り強い・執念深い
taciturn,無口な・寡黙な
vindictive,執念深い・報復的な
wistful,もの思わしげな・切ない
zealous,熱心な・熱狂的な
abhor,ひどく嫌う・忌み嫌う
capricious,気まぐれな
disparage,けなす・軽視する
