domain,hue,icon,question,tip1,tip2
Travel,165,M3 11l18-7-7 18-2-8-9-3z,"What's the most memorable trip you've ever taken, and why?","Set the scene: ""A few years ago, I went to&hellip;""","Explain the reason it stuck with you: ""What made it memorable was&hellip;"""
Travel,165,M3 11l18-7-7 18-2-8-9-3z,Do you prefer traveling alone or with other people? Why?,"Compare both: ""On one hand&hellip; on the other hand&hellip;""","Give your real preference: ""Personally, I'd rather&hellip; because&hellip;"""
Travel,165,M3 11l18-7-7 18-2-8-9-3z,"What's a place you'd love to visit someday, and what draws you to it?","Use future hopes: ""I've always wanted to&hellip;""","Name the pull: ""What draws me to it is&hellip;"""
Travel,165,M3 11l18-7-7 18-2-8-9-3z,How do you usually plan a trip — do you like a strict itinerary or a flexible one?,"Describe your style: ""I tend to&hellip;""","Contrast with the alternative: ""Unlike a fixed schedule, I prefer&hellip;"""
Travel,165,M3 11l18-7-7 18-2-8-9-3z,"What's the biggest challenge you've faced while traveling, and how did you handle it?","Narrate in the past: ""At one point, I ran into&hellip;""","Wrap up with the outcome: ""In the end, I managed to&hellip;"""
Hobbies & Free Time,201,M12 3v3m0 12v3M4.2 4.2l2.1 2.1m11.4 11.4l2.1 2.1M3 12h3m12 0h3M4.2 19.8l2.1-2.1m11.4-11.4l2.1-2.1,"What do you like to do in your free time, and how did you get into it?","Introduce the hobby: ""In my spare time, I usually&hellip;""","Trace the origin: ""I actually got into it when&hellip;"""
Hobbies & Free Time,201,M12 3v3m0 12v3M4.2 4.2l2.1 2.1m11.4 11.4l2.1 2.1M3 12h3m12 0h3M4.2 19.8l2.1-2.1m11.4-11.4l2.1-2.1,Is there a hobby you used to enjoy but don't do anymore? What happened?,"Mark the change: ""I used to&hellip;, but&hellip;""","Give the reason: ""I gradually stopped because&hellip;"""
Hobbies & Free Time,201,M12 3v3m0 12v3M4.2 4.2l2.1 2.1m11.4 11.4l2.1 2.1M3 12h3m12 0h3M4.2 19.8l2.1-2.1m11.4-11.4l2.1-2.1,"If you could learn any new skill or hobby, what would it be?","Use a hypothetical: ""If I had the time, I'd love to&hellip;""","Add your motivation: ""What appeals to me is&hellip;"""
Hobbies & Free Time,201,M12 3v3m0 12v3M4.2 4.2l2.1 2.1m11.4 11.4l2.1 2.1M3 12h3m12 0h3M4.2 19.8l2.1-2.1m11.4-11.4l2.1-2.1,How do you balance hobbies with work or study?,"Talk about routine: ""I try to set aside time for&hellip;""","Be honest about difficulty: ""Honestly, it's hard to&hellip;"""
Hobbies & Free Time,201,M12 3v3m0 12v3M4.2 4.2l2.1 2.1m11.4 11.4l2.1 2.1M3 12h3m12 0h3M4.2 19.8l2.1-2.1m11.4-11.4l2.1-2.1,Do you prefer hobbies you do alone or with other people?,"State your leaning: ""I lean more toward&hellip;""","Explain why: ""That's mainly because&hellip;"""
